
Student_ID,Department,Year,Facility,Rating,Feedback_Date

101,CSE,1,Library,4,2024-01-10
102,MECH,2,Cafeteria,3,2024-01-12
103,ECE,3,Hostel,5,2024-01-15
104,EEE,4,WiFi,2,2024-01-20
105,CSE,2,Sports,4,2024-01-25
106,CSE,3,Library,5,2024-02-01
107,MECH,1,Cafeteria,2,2024-02-03
108,ECE,2,Hostel,4,2024-02-05
109,EEE,3,WiFi,3,2024-02-07
110,CIVIL,4,Sports,4,2024-02-10
111,CSE,1,Library,3,2024-02-12
112,MECH,2,Cafeteria,4,2024-02-14
113,ECE,3,Hostel,2,2024-02-16
114,EEE,4,WiFi,5,2024-02-18
115,CIVIL,1,Sports,3,2024-02-20
116,CSE,2,Library,5,2024-02-22
117,MECH,3,Cafeteria,3,2024-02-24
118,ECE,4,Hostel,4,2024-02-26
119,EEE,1,WiFi,2,2024-02-28
120,CIVIL,2,Sports,5,2024-03-01
121,CSE,3,Library,4,2024-03-03
122,MECH,4,Cafeteria,3,2024-03-05
123,ECE,1,Hostel,5,2024-03-07
124,EEE,2,WiFi,3,2024-03-09
125,CIVIL,3,Sports,4,2024-03-11
126,CSE,4,Library,2,2024-03-13
127,MECH,1,Cafeteria,4,2024-03-15
128,ECE,2,Hostel,3,2024-03-17
129,EEE,3,WiFi,5,2024-03-19
130,CIVIL,4,Sports,2,2024-03-21
